timestamp,source_ip,dest_port,status,event
2026-08-12 08:00:01,192.168.1.10,443,SUCCESS,WEB_TRAFFIC
2026-08-12 08:00:15,192.168.1.11,80,SUCCESS,WEB_TRAFFIC
2026-08-12 08:01:05,10.0.0.199,22,FAILED,SSH_LOGIN
2026-08-12 08:01:09,10.0.0.199,22,FAILED,SSH_LOGIN
2026-08-12 08:01:14,10.0.0.199,22,FAILED,SSH_LOGIN
2026-08-12 08:01:18,10.0.0.199,22,FAILED,SSH_LOGIN
2026-08-12 08:02:00,192.168.1.12,8080,SUCCESS,WEB_TRAFFIC
2026-08-12 08:05:22,172.16.0.55,21,BLOCKED,PROBE
2026-08-12 08:05:23,172.16.0.55,22,BLOCKED,PROBE
2026-08-12 08:05:24,172.16.0.55,23,BLOCKED,PROBE
2026-08-12 08:05:25,172.16.0.55,80,BLOCKED,PROBE
2026-08-12 08:05:26,172.16.0.55,443,BLOCKED,PROBE
2026-08-12 08:06:00,192.168.1.10,443,SUCCESS,WEB_TRAFFIC
